Vgs,Iv_final005_25,Iv_final06_25,Iv_final12_25,Iv_final005_55,Iv_final06_55,Iv_final12_55,Iv_final_005_85,Iv_final06_85,Iv_final12_85
6.0,1.5042218e-07,1.9245446e-05,4.304154e-05,1.9976042e-07,2.4034287e-05,5.30875e-05,2.450233e-07,2.8241495e-05,6.2049796e-05
6.1,1.5080386e-07,1.9291057e-05,4.3171407e-05,2.0022661e-07,2.4101566e-05,5.3273823e-05,2.456048e-07,2.8315484e-05,6.22513e-05
6.2,1.5117388e-07,1.9335928e-05,4.3297678e-05,2.0068373e-07,2.4167522e-05,5.345446e-05,2.4617555e-07,2.8387578e-05,6.244558e-05
6.3,1.5153215e-07,1.93802e-05,4.342055e-05,2.011322e-07,2.4232115e-05,5.3630174e-05,2.4673514e-07,2.8458013e-05,6.263311e-05
6.4,1.5187895e-07,1.9423915e-05,4.354052e-05,2.0157147e-07,2.4295572e-05,5.3801094e-05,2.4728405e-07,2.8526867e-05,6.281443e-05
6.5,1.5221433e-07,1.9467148e-05,4.3657896e-05,2.0200194e-07,2.435786e-05,5.396781e-05,2.4782196e-07,2.8594255e-05,6.298993e-05
6.6,1.5253873e-07,1.9509987e-05,4.37728e-05,2.0242356e-07,2.441918e-05,5.4130473e-05,2.4835012e-07,2.8660324e-05,6.316029e-05
6.7,1.5285191e-07,1.9552468e-05,4.38857e-05,2.0283649e-07,2.4479526e-05,5.428981e-05,2.4886683e-07,2.8725097e-05,6.332569e-05
6.8,1.5315395e-07,1.9594656e-05,4.399681e-05,2.0324065e-07,2.4539051e-05,5.444573e-05,2.4937313e-07,2.8788749e-05,6.348679e-05
6.9,1.5344548e-07,1.9636609e-05,4.410631e-05,2.0363669e-07,2.4597775e-05,5.459862e-05,2.4986892e-07,2.8851277e-05,6.364396e-05
7.0,1.5372642e-07,1.9678373e-05,4.4214386e-05,2.0402408e-07,2.4655721e-05,5.4748754e-05,2.5035442e-07,2.8912858e-05,6.379704e-05
7.1,1.5399688e-07,1.9719964e-05,4.4321314e-05,2.0440278e-07,2.4712934e-05,5.4896525e-05,2.5082986e-07,2.8973524e-05,6.39469e-05
7.2,1.5425698e-07,1.976145e-05,4.4427186e-05,2.0477387e-07,2.47696e-05,5.504198e-05,2.5129378e-07,2.9033265e-05,6.40936e-05
7.3,1.545075e-07,1.9802805e-05,4.453233e-05,2.0513616e-07,2.4825633e-05,5.5185395e-05,2.5174836e-07,2.9092202e-05,6.4237465e-05
7.4,1.5474859e-07,1.984405e-05,4.463665e-05,2.0549076e-07,2.4881054e-05,5.5326873e-05,2.521921e-07,2.9150395e-05,6.437896e-05
7.5,1.5497983e-07,1.9885294e-05,4.4740424e-05,2.0583693e-07,2.4935998e-05,5.5466768e-05,2.5262554e-07,2.9207966e-05,6.451779e-05
7.6,1.5520189e-07,1.9926514e-05,4.484375e-05,2.0617553e-07,2.4990404e-05,5.560506e-05,2.5304834e-07,2.9264847e-05,6.4654654e-05
7.7,1.5541504e-07,1.9967621e-05,4.4946722e-05,2.0650607e-07,2.5044377e-05,5.5741988e-05,2.53461e-07,2.93211e-05,6.478975e-05
7.8,1.5561994e-07,2.0008838e-05,4.504954e-05,2.0682897e-07,2.509789e-05,5.5877594e-05,2.5386342e-07,2.9376783e-05,6.492284e-05
7.9,1.5581587e-07,2.0050005e-05,4.5152192e-05,2.0714418e-07,2.5150937e-05,5.601211e-05,2.5425535e-07,2.9432022e-05,6.505448e-05
8.0,1.5600384e-07,2.0091169e-05,4.525473e-05,2.0745168e-07,2.5203542e-05,5.6145538e-05,2.5463697e-07,2.9486653e-05,6.518476e-05
8.1,1.5618379e-07,2.0132331e-05,4.53573e-05,2.0775164e-07,2.5255787e-05,5.627811e-05,2.5500853e-07,2.95408e-05,6.5313856e-05
8.2,1.5635605e-07,2.017351e-05,4.5460005e-05,2.0804427e-07,2.5307612e-05,5.6409695e-05,2.553694e-07,2.9594497e-05,6.544162e-05
8.3,1.5652094e-07,2.021475e-05,4.5562843e-05,2.0832954e-07,2.5359097e-05,5.654065e-05,2.5571984e-07,2.9647768e-05,6.5568354e-05
8.4,1.5667912e-07,2.025603e-05,4.5665813e-05,2.0860742e-07,2.5410185e-05,5.667086e-05,2.5606064e-07,2.9700648e-05,6.5694316e-05
8.5,1.568299e-07,2.0297239e-05,4.5769117e-05,2.0887809e-07,2.5460902e-05,5.6800367e-05,2.5639147e-07,2.9753099e-05,6.5819506e-05
8.6,1.5697425e-07,2.0338553e-05,4.5872705e-05,2.0914176e-07,2.5511243e-05,5.692936e-05,2.567109e-07,2.9805118e-05,6.594406e-05
8.7,1.571122e-07,2.0379839e-05,4.5976576e-05,2.093982e-07,2.5561234e-05,5.7057703e-05,2.5702087e-07,2.985677e-05,6.6067776e-05
8.8,1.5724439e-07,2.0421143e-05,4.6080833e-05,2.096478e-07,2.5610816e-05,5.718552e-05,2.5732072e-07,2.9908018e-05,6.619099e-05
8.9,1.5737012e-07,2.0462418e-05,4.6185534e-05,2.0989077e-07,2.5660016e-05,5.7312995e-05,2.576099e-07,2.9958928e-05,6.631363e-05
9.0,1.5749077e-07,2.0503709e-05,4.629052e-05,2.101262e-07,2.570886e-05,5.7439996e-05,2.5788924e-07,3.0009396e-05,6.643599e-05
9.1,1.5760564e-07,2.054497e-05,4.6396e-05,2.1035588e-07,2.5757286e-05,5.756671e-05,2.5815808e-07,3.0059586e-05,6.655785e-05
9.2,1.5771573e-07,2.0586223e-05,4.6501875e-05,2.1057795e-07,2.580538e-05,5.7692945e-05,2.58417e-07,3.0109299e-05,6.667934e-05
9.3,1.5782071e-07,2.0627447e-05,4.6608246e-05,2.1079401e-07,2.5853024e-05,5.781882e-05,2.5866595e-07,3.0158662e-05,6.6800545e-05
9.4,1.5792106e-07,2.0668618e-05,4.6715013e-05,2.1100404e-07,2.59003e-05,5.79444e-05,2.589052e-07,3.020761e-05,6.692138e-05
9.5,1.5801699e-07,2.0709711e-05,4.6822282e-05,2.1120708e-07,2.594718e-05,5.806955e-05,2.5913357e-07,3.0256206e-05,6.704198e-05
9.6,1.5810896e-07,2.075075e-05,4.6930007e-05,2.1140382e-07,2.59936e-05,5.81942e-05,2.5935188e-07,3.030438e-05,6.7162226e-05
9.7,1.5819649e-07,2.0791686e-05,4.7038182e-05,2.1159377e-07,2.603962e-05,5.8318736e-05,2.5956126e-07,3.035213e-05,6.728238e-05
9.8,1.5828091e-07,2.0832565e-05,4.714687e-05,2.1177878e-07,2.6085088e-05,5.8442834e-05,2.5976e-07,3.0399457e-05,6.740209e-05
9.9,1.5836123e-07,2.0873342e-05,4.7255857e-05,2.119565e-07,2.6130208e-05,5.8566617e-05,2.5994856e-07,3.0446354e-05,6.752179e-05
10.0,1.584381e-07,2.091397e-05,4.736546e-05,2.1212901e-07,2.617486e-05,5.8690017e-05,2.601276e-07,3.0492822e-05,6.764103e-05
10.1,1.5851222e-07,2.0954469e-05,4.7475372e-05,2.122956e-07,2.621901e-05,5.8813093e-05,2.6029673e-07,3.0538824e-05,6.776011e-05
10.2,1.5858325e-07,2.0994863e-05,4.7585694e-05,2.1245627e-07,2.626266e-05,5.8935653e-05,2.6045595e-07,3.058429e-05,6.787888e-05
10.3,1.5865186e-07,2.1035079e-05,4.769643e-05,2.1261076e-07,2.6305805e-05,5.9057886e-05,2.6060613e-07,3.062939e-05,6.799763e-05
10.4,1.5871773e-07,2.1075119e-05,4.7807633e-05,2.1275997e-07,2.634841e-05,5.917966e-05,2.607458e-07,3.0673913e-05,6.811592e-05
10.5,1.5878099e-07,2.111498e-05,4.7919097e-05,2.1290322e-07,2.6390508e-05,5.9301223e-05,2.608764e-07,3.0717965e-05,6.8233734e-05
10.6,1.588422e-07,2.1154638e-05,4.8030975e-05,2.1304118e-07,2.6432092e-05,5.9422193e-05,2.60997e-07,3.076147e-05,6.8351386e-05
10.7,1.589015e-07,2.1194091e-05,4.814312e-05,2.131736e-07,2.6473102e-05,5.954262e-05,2.611079e-07,3.0804324e-05,6.8468784e-05
10.8,1.5895908e-07,2.1233338e-05,4.8255522e-05,2.1330074e-07,2.6513506e-05,5.9662707e-05,2.6120944e-07,3.08467e-05,6.858563e-05
10.9,1.5901495e-07,2.1272306e-05,4.8368347e-05,2.1342255e-07,2.6553302e-05,5.9782116e-05,2.613018e-07,3.088849e-05,6.8702226e-05
11.0,1.5906907e-07,2.1310972e-05,4.8481383e-05,2.1353881e-07,2.6592514e-05,5.9901235e-05,2.61385e-07,3.092969e-05,6.881826e-05
11.1,1.5912184e-07,2.1349428e-05,4.859463e-05,2.1365068e-07,2.6631169e-05,6.0019538e-05,2.6145878e-07,3.0970226e-05,6.8933965e-05
11.2,1.5917355e-07,2.13876e-05,4.870814e-05,2.137572e-07,2.666912e-05,6.013735e-05,2.6152279e-07,3.1010106e-05,6.904918e-05
11.3,1.5922424e-07,2.1425463e-05,4.882181e-05,2.1385863e-07,2.670648e-05,6.02546e-05,2.6157852e-07,3.104939e-05,6.916391e-05
11.4,1.5927425e-07,2.1463089e-05,4.8935748e-05,2.1395515e-07,2.674319e-05,6.037115e-05,2.6162417e-07,3.108797e-05,6.927799e-05
11.5,1.593234e-07,2.150026e-05,4.9049733e-05,2.1404678e-07,2.6779182e-05,6.048706e-05,2.6166123e-07,3.1125845e-05,6.939149e-05
11.6,1.5937222e-07,2.153719e-05,4.9163766e-05,2.1413399e-07,2.6814518e-05,6.060226e-05,2.616894e-07,3.1163014e-05,6.9504495e-05
11.7,1.5942017e-07,2.1573755e-05,4.9277958e-05,2.1421559e-07,2.6849251e-05,6.071688e-05,2.6170835e-07,3.119944e-05,6.961684e-05
11.8,1.5946813e-07,2.160993e-05,4.9392198e-05,2.1429369e-07,2.6883175e-05,6.0830585e-05,2.6171898e-07,3.1235122e-05,6.9728376e-05
11.9,1.5951576e-07,2.1645741e-05,4.950654e-05,2.1436688e-07,2.6916372e-05,6.0943563e-05,2.6172043e-07,3.1270087e-05,6.983932e-05
